epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3124,1.42514,3.64561,1.4782,0.51103,0.26162,0.2104,0.12422,1.30936,2.38107,1.44386,0.000132698,0.000132698,0.000132698
2,79.378,1.45538,2.66861,1.50354,0.57692,0.33853,0.33504,0.20495,1.36898,1.98667,1.49227,0.000264715,0.000264715,0.000264715
3,116.254,1.44833,2.49055,1.52499,0.62528,0.34986,0.39344,0.24858,1.32704,2.08192,1.45651,0.000395411,0.000395411,0.000395411
4,153.222,1.41928,2.37401,1.51353,0.49065,0.4516,0.42346,0.26263,1.34843,1.70003,1.48817,0.00039406,0.00039406,0.00039406
5,188.797,1.40993,2.22506,1.47585,0.57749,0.42818,0.46973,0.30247,1.29909,1.78053,1.42044,0.00039208,0.00039208,0.00039208
6,225.623,1.38287,2.11867,1.47154,0.54484,0.40894,0.42544,0.26175,1.31497,1.69021,1.45319,0.0003901,0.0003901,0.0003901
7,262.716,1.35966,2.04125,1.45077,0.56645,0.48347,0.4877,0.30876,1.33823,1.5714,1.46074,0.00038812,0.00038812,0.00038812
8,299.777,1.35768,1.9736,1.44407,0.51416,0.46216,0.48202,0.30985,1.33501,1.70924,1.45327,0.00038614,0.00038614,0.00038614
9,336.178,1.32792,1.88777,1.43467,0.6769,0.46366,0.51845,0.33844,1.30108,1.46701,1.43931,0.00038416,0.00038416,0.00038416
10,372.798,1.32687,1.81123,1.4163,0.74563,0.42756,0.52401,0.3338,1.32523,1.51506,1.44887,0.00038218,0.00038218,0.00038218
11,409.49,1.31203,1.75104,1.40185,0.6701,0.4662,0.50994,0.32342,1.34477,1.5143,1.45329,0.0003802,0.0003802,0.0003802
12,446.723,1.32059,1.71224,1.40629,0.55479,0.47577,0.53133,0.33921,1.30314,1.4225,1.43301,0.00037822,0.00037822,0.00037822
13,483.88,1.27507,1.65844,1.38964,0.58878,0.48879,0.52928,0.34459,1.29151,1.52074,1.4141,0.00037624,0.00037624,0.00037624
14,520.325,1.28062,1.64532,1.39556,0.65828,0.47788,0.58772,0.37402,1.30875,1.38939,1.40852,0.00037426,0.00037426,0.00037426
15,558.252,1.24374,1.56858,1.36607,0.48879,0.57243,0.53687,0.34584,1.31751,1.55669,1.44016,0.00037228,0.00037228,0.00037228
16,595.853,1.25595,1.53565,1.37411,0.56049,0.53277,0.53648,0.34399,1.30023,1.40601,1.42962,0.0003703,0.0003703,0.0003703
17,633.239,1.24153,1.53424,1.36505,0.58338,0.50311,0.56797,0.35882,1.33768,1.35538,1.41946,0.00036832,0.00036832,0.00036832
18,670.851,1.23856,1.47731,1.36016,0.63369,0.5613,0.59592,0.37584,1.33596,1.33355,1.41761,0.00036634,0.00036634,0.00036634
19,707.889,1.22804,1.44349,1.35184,0.60162,0.48158,0.5442,0.34132,1.36136,1.35657,1.4442,0.00036436,0.00036436,0.00036436
20,744.3,1.20966,1.42825,1.34135,0.53221,0.51023,0.52971,0.33362,1.30913,1.38341,1.42607,0.00036238,0.00036238,0.00036238
21,781.707,1.19593,1.37481,1.32638,0.66165,0.5173,0.57698,0.35825,1.38749,1.34256,1.45478,0.0003604,0.0003604,0.0003604
22,818.964,1.19391,1.36266,1.33679,0.59979,0.53589,0.53482,0.33242,1.33265,1.3672,1.45337,0.00035842,0.00035842,0.00035842
23,855.878,1.18912,1.32956,1.32054,0.65424,0.53832,0.60564,0.38562,1.32133,1.28432,1.4056,0.00035644,0.00035644,0.00035644
24,892.923,1.19071,1.33892,1.33421,0.60085,0.57175,0.60538,0.3886,1.31488,1.37745,1.43045,0.00035446,0.00035446,0.00035446
25,929.146,1.17404,1.30571,1.31765,0.6209,0.6195,0.6443,0.41577,1.29728,1.23345,1.41467,0.00035248,0.00035248,0.00035248
26,966.099,1.15235,1.25459,1.30583,0.71657,0.54488,0.59327,0.38447,1.28677,1.34067,1.43506,0.0003505,0.0003505,0.0003505
27,1003.97,1.16186,1.27063,1.30853,0.62734,0.51595,0.58009,0.36904,1.35361,1.35373,1.42805,0.00034852,0.00034852,0.00034852
28,1041.41,1.14208,1.23528,1.29767,0.52959,0.62084,0.58036,0.34842,1.39783,1.36611,1.45725,0.00034654,0.00034654,0.00034654
29,1078.75,1.1469,1.22788,1.29566,0.71885,0.56662,0.63149,0.40487,1.33589,1.26414,1.43596,0.00034456,0.00034456,0.00034456
30,1115.14,1.13069,1.20113,1.28427,0.58984,0.55191,0.5912,0.3686,1.37889,1.28147,1.43801,0.00034258,0.00034258,0.00034258
31,1152.48,1.11719,1.17681,1.28141,0.52078,0.60504,0.58906,0.37854,1.32277,1.22294,1.41778,0.0003406,0.0003406,0.0003406
32,1189.8,1.12117,1.16795,1.28223,0.62864,0.55366,0.56573,0.34692,1.39016,1.39077,1.47104,0.00033862,0.00033862,0.00033862
33,1226.55,1.09286,1.13285,1.26892,0.60721,0.53647,0.56537,0.34797,1.3494,1.31182,1.44838,0.00033664,0.00033664,0.00033664
34,1263.38,1.10792,1.13504,1.27027,0.56274,0.65413,0.61726,0.38691,1.41906,1.2474,1.46196,0.00033466,0.00033466,0.00033466
35,1299.43,1.11939,1.14468,1.26761,0.6414,0.55929,0.59004,0.37667,1.32347,1.23798,1.40671,0.00033268,0.00033268,0.00033268
36,1336.68,1.09981,1.09217,1.25886,0.70441,0.51243,0.61784,0.39301,1.38543,1.25813,1.44705,0.0003307,0.0003307,0.0003307
37,1374.18,1.09439,1.11425,1.26307,0.66327,0.58826,0.60512,0.39027,1.32568,1.25009,1.42414,0.00032872,0.00032872,0.00032872
38,1411.84,1.08968,1.10916,1.25748,0.6227,0.63687,0.64919,0.39903,1.38308,1.23611,1.44316,0.00032674,0.00032674,0.00032674
39,1448.88,1.06819,1.0981,1.24482,0.64262,0.57878,0.59587,0.37649,1.34884,1.29556,1.43632,0.00032476,0.00032476,0.00032476
40,1485.49,1.05748,1.05609,1.23278,0.67056,0.56113,0.62334,0.39549,1.35838,1.29553,1.44107,0.00032278,0.00032278,0.00032278
41,1522.88,1.07588,1.05257,1.24682,0.68786,0.57655,0.62569,0.3992,1.32786,1.20934,1.43215,0.0003208,0.0003208,0.0003208
42,1560.05,1.05208,1.03686,1.23354,0.68153,0.55183,0.60379,0.38451,1.33044,1.30249,1.43083,0.00031882,0.00031882,0.00031882
43,1597.27,1.06982,1.03556,1.23678,0.63601,0.58478,0.62296,0.38811,1.40429,1.24045,1.47992,0.00031684,0.00031684,0.00031684
44,1634.71,1.04695,1.00521,1.21634,0.67905,0.55797,0.5989,0.38302,1.36268,1.26405,1.44851,0.00031486,0.00031486,0.00031486
45,1670.77,1.04407,0.99417,1.21691,0.64047,0.57615,0.60902,0.3736,1.45289,1.26335,1.50603,0.00031288,0.00031288,0.00031288
46,1708.28,1.03978,0.99828,1.23067,0.69605,0.55341,0.59583,0.3733,1.40163,1.30632,1.47589,0.0003109,0.0003109,0.0003109
47,1745.8,1.03373,0.97268,1.21219,0.68231,0.57415,0.61865,0.38285,1.3905,1.24979,1.49145,0.00030892,0.00030892,0.00030892
48,1783.23,1.01085,0.9688,1.21278,0.65978,0.50416,0.58403,0.37266,1.35626,1.25507,1.46837,0.00030694,0.00030694,0.00030694
49,1820.84,1.0349,0.96367,1.21529,0.59352,0.6204,0.58657,0.36511,1.38185,1.19758,1.49109,0.00030496,0.00030496,0.00030496
50,1856.92,1.02294,0.97079,1.20844,0.56574,0.61225,0.58425,0.36412,1.40716,1.28328,1.48356,0.00030298,0.00030298,0.00030298
51,1893.9,1.0041,0.95317,1.20635,0.7601,0.5072,0.61386,0.37307,1.40729,1.26635,1.49128,0.000301,0.000301,0.000301
52,1931.25,0.97731,0.94751,1.19239,0.59084,0.56305,0.58412,0.36687,1.39685,1.27172,1.50089,0.00029902,0.00029902,0.00029902
53,1968.45,0.99232,0.91953,1.2024,0.70296,0.56634,0.61994,0.37876,1.40832,1.27947,1.4944,0.00029704,0.00029704,0.00029704
54,2005.47,0.97747,0.91774,1.19632,0.62491,0.54953,0.60254,0.38998,1.37318,1.23563,1.48191,0.00029506,0.00029506,0.00029506
