epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3701,1.42844,3.68346,1.48053,0.6254,0.25249,0.23645,0.14582,1.38323,2.27602,1.49479,0.000127778,0.000127778,0.000127778
2,83.0572,1.44631,2.73056,1.51231,0.48502,0.37008,0.3054,0.18666,1.38955,2.09105,1.4822,0.000255097,0.000255097,0.000255097
3,121.939,1.44854,2.50629,1.5035,0.52227,0.33328,0.38349,0.23514,1.41746,1.96741,1.51618,0.0003814,0.0003814,0.0003814
4,160.209,1.43323,2.39904,1.49492,0.43629,0.40225,0.38252,0.24357,1.35473,1.86343,1.45193,0.000380426,0.000380426,0.000380426
5,198.153,1.4174,2.25734,1.4776,0.48789,0.36919,0.39579,0.24457,1.40115,1.80146,1.50543,0.000378902,0.000378902,0.000378902
6,236.685,1.38735,2.15204,1.45676,0.44796,0.45322,0.42241,0.25712,1.38281,1.68959,1.49882,0.000377377,0.000377377,0.000377377
7,275.444,1.36782,2.02608,1.42696,0.57684,0.42051,0.45244,0.2771,1.39732,1.61082,1.47005,0.000375852,0.000375852,0.000375852
8,314.677,1.36763,1.95818,1.43452,0.67184,0.42268,0.45595,0.28065,1.35506,1.68282,1.45936,0.000374328,0.000374328,0.000374328
9,353.286,1.33144,1.86253,1.40967,0.64225,0.42859,0.4948,0.30801,1.37193,1.5209,1.43171,0.000372803,0.000372803,0.000372803
10,391.354,1.31322,1.77947,1.4093,0.49643,0.51735,0.47713,0.29767,1.36278,1.54442,1.41107,0.000371279,0.000371279,0.000371279
11,430.545,1.30355,1.76475,1.39346,0.69099,0.4414,0.48463,0.29679,1.37925,1.55971,1.45437,0.000369754,0.000369754,0.000369754
12,469.115,1.30889,1.72173,1.39394,0.60122,0.44375,0.46053,0.28076,1.40419,1.56146,1.47976,0.000368229,0.000368229,0.000368229
13,508.349,1.30823,1.67977,1.39568,0.55914,0.49916,0.49715,0.31001,1.39902,1.48242,1.45941,0.000366705,0.000366705,0.000366705
14,546.846,1.30524,1.62512,1.38373,0.71189,0.44529,0.50075,0.32371,1.38582,1.42552,1.46285,0.00036518,0.00036518,0.00036518
15,585.828,1.31623,1.61297,1.40521,0.74645,0.46841,0.5269,0.32413,1.4408,1.5397,1.48928,0.000363656,0.000363656,0.000363656
16,625.4,1.2906,1.57604,1.37299,0.60566,0.48435,0.52453,0.32986,1.38157,1.42208,1.4323,0.000362131,0.000362131,0.000362131
17,664.024,1.26589,1.5325,1.36397,0.60787,0.4743,0.49978,0.31859,1.35252,1.42805,1.42329,0.000360606,0.000360606,0.000360606
18,703.496,1.24859,1.50256,1.35215,0.54622,0.53821,0.50177,0.30897,1.39494,1.45702,1.45273,0.000359082,0.000359082,0.000359082
19,742.394,1.24183,1.45445,1.34694,0.62497,0.52428,0.53742,0.33829,1.39694,1.39021,1.44862,0.000357557,0.000357557,0.000357557
20,781.33,1.22615,1.41091,1.33904,0.61537,0.51311,0.51928,0.32568,1.4026,1.43828,1.46941,0.000356033,0.000356033,0.000356033
21,820.075,1.23678,1.40666,1.34157,0.6406,0.4855,0.53596,0.33462,1.38388,1.40281,1.44121,0.000354508,0.000354508,0.000354508
22,858.61,1.22225,1.38395,1.33128,0.57934,0.49027,0.53054,0.32812,1.38591,1.40185,1.44978,0.000352983,0.000352983,0.000352983
23,898.032,1.19924,1.36255,1.31856,0.63126,0.49265,0.52623,0.33071,1.36836,1.38228,1.44879,0.000351459,0.000351459,0.000351459
24,936.771,1.20752,1.3364,1.31526,0.62315,0.5207,0.52622,0.32779,1.36861,1.38995,1.42858,0.000349934,0.000349934,0.000349934
25,975.84,1.194,1.31375,1.32364,0.58862,0.53916,0.53354,0.32825,1.36918,1.36472,1.44653,0.00034841,0.00034841,0.00034841
26,1014.84,1.18577,1.2763,1.30952,0.62423,0.51422,0.5115,0.31327,1.42855,1.40336,1.4569,0.000346885,0.000346885,0.000346885
27,1053.95,1.15839,1.26132,1.2943,0.6301,0.45988,0.52312,0.33006,1.36878,1.32162,1.44481,0.00034536,0.00034536,0.00034536
28,1093.34,1.16922,1.25589,1.30615,0.66624,0.48832,0.5467,0.34187,1.41618,1.32997,1.48547,0.000343836,0.000343836,0.000343836
29,1132.16,1.15537,1.23078,1.29227,0.61003,0.52149,0.54515,0.3371,1.41725,1.35698,1.47831,0.000342311,0.000342311,0.000342311
